Date,Open,High,Low,Close,Adj Close,Volume
2010-06-16,56.900002,57.660000,56.360001,56.570000,51.111553,8650630
2010-06-17,55.889999,57.180000,55.810001,56.840000,51.355499,9364195
2010-06-18,57.000000,57.299999,55.669998,55.980000,50.578487,4498365
2010-06-21,56.000000,56.980000,56.000000,56.330002,50.894722,5213525
2010-06-22,56.000000,56.000000,52.560001,54.369999,49.123833,105086320
2010-06-23,54.599998,55.590000,54.259998,55.389999,50.045414,18562655
2010-06-24,55.799999,55.799999,53.799999,54.209999,49.245991,24032410
2010-06-25,54.299999,54.880001,53.759998,54.450001,49.464020,9247740
2010-06-28,54.040001,54.700001,53.720001,54.410000,49.427685,7928910
2010-06-29,52.000000,54.400002,52.000000,53.590000,48.682766,8492355
2010-06-30,52.599998,54.040001,52.400002,53.860001,48.928051,6513095
2010-07-01,53.400002,54.240002,53.200001,53.919998,48.982552,4876530
2010-07-02,53.799999,54.779999,53.169998,53.560001,48.655518,6543500
2010-07-05,53.200001,54.049999,53.200001,53.680000,48.764530,3366785
2010-07-06,53.799999,55.779999,53.669998,55.169998,50.118084,12565985
2010-07-07,54.980000,55.169998,53.740002,54.020000,49.073395,7697045
2010-07-08,54.419998,55.340000,54.419998,55.160000,50.109005,10207370
2010-07-09,55.520000,57.320000,55.299999,57.139999,51.907692,13881100
2010-07-12,57.400002,58.200001,56.820000,57.169998,51.934944,7227650
2010-07-13,57.299999,57.880001,56.919998,57.529999,52.261982,4193455
2010-07-14,58.130001,58.540001,56.470001,56.820000,51.616997,7848325
2010-07-15,57.200001,57.689999,56.910000,57.330002,52.080303,5437550
2010-07-16,57.500000,60.200001,57.400002,59.889999,54.405884,16281955
2010-07-19,59.430000,60.549999,59.349998,59.570000,54.115185,9497505
2010-07-20,59.799999,60.380001,59.220001,59.490002,54.042511,6897605
2010-07-21,60.000000,60.939999,58.240002,59.570000,54.115185,30466060
2010-07-22,59.799999,60.599998,59.080002,59.759998,54.287781,22666390
2010-07-23,60.000000,60.880001,59.759998,60.369999,54.841927,14222805
2010-07-26,60.400002,60.730000,59.209999,59.750000,54.278698,5270390
2010-07-27,60.000000,60.560001,59.730000,59.950001,54.460384,7666185
2010-07-28,60.299999,60.299999,58.020000,58.349998,53.006897,8390400
2010-07-29,58.540001,58.990002,58.070000,58.400002,53.052326,8817225
2010-07-30,58.660000,59.849998,58.630001,59.130001,53.715477,6382040
2010-08-02,59.200001,61.500000,59.200001,61.090000,55.495995,8622720
2010-08-03,61.599998,62.369999,61.410000,61.849998,56.186401,9672150
2010-08-04,62.270000,62.270000,60.330002,60.720001,55.159874,8660780
2010-08-05,60.799999,61.139999,59.599998,59.849998,54.369541,8250495
2010-08-06,60.000000,60.730000,59.000000,59.259998,53.833572,5116625
2010-08-09,59.639999,61.090000,59.500000,60.990002,55.405151,7789475
2010-08-10,61.099998,61.799999,60.419998,60.549999,55.005444,8704745
2010-08-11,60.599998,61.099998,59.880001,60.099998,54.596649,3709175
2010-08-12,59.599998,61.650002,59.400002,61.150002,55.550503,15778580
2010-08-13,61.509998,65.940002,61.200001,64.199997,58.321205,21814440
2010-08-16,64.000000,65.000000,63.040001,63.730000,57.894253,7440930
2010-08-17,64.800003,65.879997,62.400002,65.529999,59.529423,10344235
2010-08-18,66.000000,66.290001,64.709999,65.559998,59.556675,7274075
2010-08-19,65.599998,68.930000,65.599998,68.540001,62.263786,16292090
2010-08-20,68.239998,68.239998,66.110001,66.300003,60.228916,9727270
2010-08-23,66.269997,67.400002,65.610001,66.570000,60.474190,4911395
2010-08-24,66.570000,66.800003,65.080002,65.720001,59.702030,9155280
2010-08-25,65.589996,66.660004,64.519997,65.550003,59.547592,5592675
2010-08-26,65.800003,66.269997,64.790001,65.199997,59.229637,5893950
2010-08-27,65.000000,65.860001,63.919998,64.360001,58.466564,4381330
2010-08-30,64.400002,65.430000,62.680000,63.279999,57.485455,5447740
2010-08-31,63.000000,63.000000,60.509998,62.240002,56.540684,10598465
2010-09-01,62.509998,64.239998,62.459999,63.970001,58.112278,5837205
2010-09-02,64.760002,64.760002,63.200001,63.599998,57.776154,4108260
2010-09-03,64.199997,64.199997,62.900002,63.730000,57.894253,4032115
2010-09-06,64.339996,65.480003,64.019997,64.419998,58.521065,7848365
2010-09-07,64.779999,64.930000,63.380001,63.520000,57.703487,3606235
2010-09-08,63.599998,63.900002,62.770000,63.540001,57.721645,3926700
2010-09-09,63.799999,64.800003,63.660000,64.150002,58.275795,5297755
2010-09-13,64.599998,66.580002,64.430000,66.120003,60.065407,12927910
2010-09-14,66.400002,67.000000,65.019997,65.739998,59.720192,8993460
2010-09-15,66.000000,67.489998,65.199997,65.330002,59.347736,11953670
2010-09-16,65.620003,67.000000,65.199997,65.860001,59.829205,12823135
2010-09-17,65.400002,66.580002,65.199997,65.889999,59.856464,9792865
2010-09-20,66.199997,66.629997,65.279999,66.430000,60.347015,6478475
2010-09-21,66.599998,67.690002,65.650002,65.839996,59.811035,14427795
2010-09-22,65.730003,66.739998,65.139999,66.470001,60.383354,7066025
2010-09-23,66.800003,68.199997,66.300003,67.559998,61.373539,16191605
2010-09-24,67.559998,67.720001,66.620003,67.389999,61.219112,6469355
2010-09-27,67.800003,69.440002,67.470001,69.129997,62.799767,12002865
2010-09-28,67.800003,70.919998,67.800003,70.290001,63.853554,9442335
2010-09-29,70.620003,71.739998,70.199997,70.559998,64.098824,17306235
2010-09-30,70.419998,70.989998,68.599998,70.029999,63.617363,11737700
2010-10-01,70.800003,72.089996,70.570000,71.400002,64.861916,3722475
2010-10-04,72.339996,72.900002,71.040001,71.800003,65.225288,12549825
2010-10-05,72.000000,72.099998,70.400002,70.620003,64.153351,8813815
2010-10-06,71.199997,71.550003,70.199997,70.419998,63.971642,4794225
2010-10-07,70.800003,70.800003,68.629997,68.959999,62.645344,7249475
2010-10-08,69.129997,70.580002,68.750000,70.279999,63.844463,8242535
2010-10-11,70.769997,71.750000,70.209999,70.809998,64.325935,10663825
2010-10-12,66.540001,71.279999,66.540001,69.599998,63.226738,7888720
2010-10-13,69.980003,70.900002,69.519997,70.540001,64.080658,5981070
2010-10-14,70.930000,71.180000,69.849998,70.059998,63.644608,3919180
2010-10-15,70.220001,70.220001,69.199997,69.410004,63.054134,2759265
2010-10-18,69.599998,71.339996,68.220001,70.959999,64.462204,10247000
2010-10-19,70.800003,71.680000,68.959999,69.379997,63.026878,6109075
2010-10-20,69.589996,70.790001,69.260002,70.470001,64.017059,14248045
2010-10-21,70.470001,71.300003,68.900002,70.760002,64.280518,13544650
2010-10-22,71.400002,74.540001,71.300003,73.839996,67.078484,21616995
2010-10-25,74.400002,74.800003,73.199997,74.470001,67.650795,9667585
2010-10-26,74.599998,76.000000,73.930000,75.769997,68.831749,9453330
2010-10-27,75.599998,76.000000,73.070000,73.790001,67.033066,4802505
2010-10-28,74.010002,74.459999,71.019997,71.830002,65.252541,10555535
